Account,date,daily_pnl,n_trades,n_wins,win_rate,avg_trade_size_usd,total_volume_usd,longs,shorts,value,classification
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-04,768.3518919999999,41.0,27.0,0.6585365853658537,422.4107317073171,17318.84,14.0,27.0,73,Greed
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-05,16.923621,2.0,2.0,1.0,135.32,270.64,0.0,2.0,72,Greed
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-01,416.546688,101.0,46.0,0.45544554455445546,217.6933663366337,21987.030000000002,25.0,76.0,68,Greed
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-02,-1416.906536,91.0,5.0,0.054945054945054944,1328.6620879120878,120908.25,80.0,11.0,60,Greed
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-03,8330.21747,73.0,56.0,0.7671232876712328,1432.3072602739728,104558.43000000001,18.0,55.0,44,Fear
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-04,669.3813630000001,70.0,42.0,0.6,414.1342857142858,28989.400000000005,27.0,43.0,72,Greed
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-01,250.581483,69.0,36.0,0.5217391304347826,217.15115942028984,14983.429999999998,34.0,35.0,20,Extreme Fear
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-02,439.63404599999996,75.0,45.0,0.6,1251.5914666666667,93869.36,27.0,48.0,26,Fear
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-03,494.669357,58.0,21.0,0.3620689655172414,536.928448275862,31141.85,48.0,10.0,33,Fear
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-04,149.51234499999998,85.0,10.0,0.11764705882352941,453.31905882352953,38532.12000000001,64.0,21.0,15,Extreme Fear
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-01,232.665498,81.0,40.0,0.49382716049382713,156.68296296296296,12691.32,32.0,49.0,34,Fear
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-02,1291.500575,48.0,17.0,0.3541666666666667,1139.6597916666667,54703.67,31.0,17.0,44,Fear
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-03,163.73414999999997,43.0,13.0,0.3023255813953488,1091.9493023255816,46953.82000000001,42.0,1.0,25,Fear
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-04,498.7352820000001,100.0,56.0,0.56,280.54429999999996,28054.429999999997,33.0,67.0,28,Fear
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-05-01,87.752181,82.0,44.0,0.5365853658536586,101.1840243902439,8297.09,39.0,43.0,53,Neutral
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-05-02,696.8107239999999,83.0,37.0,0.4457831325301205,912.4063855421687,75729.73,45.0,38.0,67,Greed
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-01-11,-0.09906000000000148,14.0,4.0,0.2857142857142857,2139.280714285714,29949.93,6.0,8.0,76,Extreme Greed
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-02-12,16196.864845999999,53.0,30.0,0.5660377358490566,2348.7403773584906,124483.24,23.0,30.0,70,Greed
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-03-12,121.53556199999998,59.0,14.0,0.23728813559322035,1685.5867796610166,99449.61999999998,33.0,26.0,81,Extreme Greed
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-04-12,7591.307059,37.0,25.0,0.6756756756756757,3426.9959459459456,126798.84999999999,12.0,25.0,79,Extreme Greed
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-05-12,2069.92634,33.0,30.0,0.9090909090909091,890.1048484848485,29373.46,3.0,30.0,56,Greed
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-06-11,-3.41119,3.0,0.0,0.0,666.84,2000.52,1.0,2.0,74,Greed
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-06-12,-123.870122,9.0,0.0,0.0,2324.0444444444447,20916.4,5.0,4.0,72,Greed
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-08-11,-710.7869460000002,15.0,0.0,0.0,2003.9206666666664,30058.809999999998,5.0,10.0,39,Fear
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-10-12,130.88369100000003,12.0,7.0,0.5833333333333334,1585.403333333333,19024.839999999997,5.0,7.0,49,Neutral
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-11-12,8544.6855,19.0,10.0,0.5263157894736842,6550.684736842105,124463.01,9.0,10.0,80,Extreme Greed
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-12-12,7639.595793999999,62.0,39.0,0.6290322580645161,5565.801451612901,345079.6899999998,23.0,39.0,83,Extreme Greed
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-01-02,88.50699399999999,21.0,12.0,0.5714285714285714,5610.000952380952,117810.02,5.0,16.0,70,Greed
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-01-04,1334.414834,9.0,4.0,0.4444444444444444,1193.0444444444443,10737.399999999998,5.0,4.0,73,Greed
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-02-04,1.103158,6.0,2.0,0.3333333333333333,395.24,2371.44,3.0,3.0,72,Greed
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-03-04,160.127816,26.0,19.0,0.7307692307692307,739.3319230769231,19222.63,7.0,19.0,15,Extreme Fear
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2023-01-05,0.0,3.0,0.0,0.0,159.0,477.0,3.0,0.0,29,Fear
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-01-08,0.0,1.0,0.0,0.0,0.74,0.74,0.0,1.0,71,Greed
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-01-12,13.566929,3.0,2.0,0.6666666666666666,11.366666666666667,34.1,1.0,2.0,71,Greed
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-02-12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,70,Greed
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-03-08,0.0,1.0,0.0,0.0,0.65,0.65,0.0,1.0,81,Extreme Greed
